Trial,Method,Selected,Precision,Recall,F1
0,Lf screener (f=0.5),15,0.3333333333333333,1.0,0.5
0,OLS screener (f=2),15,0.3333333333333333,1.0,0.5
0,LassoCV,15,0.3333333333333333,1.0,0.5
0,ElasticNetCV,15,0.3333333333333333,1.0,0.5
1,Lf screener (f=0.5),11,0.45454545454545453,1.0,0.625
1,OLS screener (f=2),14,0.35714285714285715,1.0,0.5263157894736842
1,LassoCV,8,0.625,1.0,0.7692307692307693
1,ElasticNetCV,10,0.5,1.0,0.6666666666666666
2,Lf screener (f=0.5),14,0.35714285714285715,1.0,0.5263157894736842
2,OLS screener (f=2),15,0.3333333333333333,1.0,0.5
2,LassoCV,10,0.5,1.0,0.6666666666666666
2,ElasticNetCV,10,0.5,1.0,0.6666666666666666
3,Lf screener (f=0.5),15,0.3333333333333333,1.0,0.5
3,OLS screener (f=2),15,0.3333333333333333,1.0,0.5
3,LassoCV,6,0.8333333333333334,1.0,0.9090909090909091
3,ElasticNetCV,7,0.7142857142857143,1.0,0.8333333333333333
4,Lf screener (f=0.5),13,0.38461538461538464,1.0,0.5555555555555556
4,OLS screener (f=2),15,0.3333333333333333,1.0,0.5
4,LassoCV,11,0.45454545454545453,1.0,0.625
4,ElasticNetCV,11,0.45454545454545453,1.0,0.625
5,Lf screener (f=0.5),12,0.4166666666666667,1.0,0.5882352941176471
5,OLS screener (f=2),10,0.5,1.0,0.6666666666666666
5,LassoCV,10,0.5,1.0,0.6666666666666666
5,ElasticNetCV,11,0.45454545454545453,1.0,0.625
6,Lf screener (f=0.5),13,0.38461538461538464,1.0,0.5555555555555556
6,OLS screener (f=2),12,0.4166666666666667,1.0,0.5882352941176471
6,LassoCV,8,0.625,1.0,0.7692307692307693
6,ElasticNetCV,9,0.5555555555555556,1.0,0.7142857142857143
7,Lf screener (f=0.5),14,0.35714285714285715,1.0,0.5263157894736842
7,OLS screener (f=2),15,0.3333333333333333,1.0,0.5
7,LassoCV,11,0.45454545454545453,1.0,0.625
7,ElasticNetCV,11,0.45454545454545453,1.0,0.625
8,Lf screener (f=0.5),15,0.3333333333333333,1.0,0.5
8,OLS screener (f=2),14,0.35714285714285715,1.0,0.5263157894736842
8,LassoCV,10,0.5,1.0,0.6666666666666666
8,ElasticNetCV,10,0.5,1.0,0.6666666666666666
9,Lf screener (f=0.5),14,0.35714285714285715,1.0,0.5263157894736842
9,OLS screener (f=2),10,0.5,1.0,0.6666666666666666
9,LassoCV,11,0.45454545454545453,1.0,0.625
9,ElasticNetCV,11,0.45454545454545453,1.0,0.625
